Timestamp,Occupancy,Capacity,QueueLength,TrafficNumeric,IsSpecialDay,VehicleWeight,ID
2016-10-04 07:59:00,61,577,1,0,0,1.0,0
2016-10-04 07:59:00,237,1200,2,0,0,0.5,5248
2016-10-04 07:59:00,264,687,2,0,0,1.0,3936
2016-10-04 07:59:00,249,485,2,0,0,1.0,6560
2016-10-04 07:59:00,614,1920,2,0,0,0.3,17056
2016-10-04 07:59:00,117,470,2,0,0,1.0,2624
2016-10-04 07:59:00,178,690,2,0,0,1.0,7872
2016-10-04 07:59:00,445,1322,3,1,0,0.5,14432
2016-10-04 07:59:00,709,2009,2,0,0,1.0,9184
2016-10-04 07:59:00,195,2803,1,0,0,1.0,10496
2016-10-04 07:59:00,120,387,2,0,0,1.0,1312
2016-10-04 07:59:00,1081,3883,2,0,0,1.0,11808
2016-10-04 07:59:00,547,2937,2,0,0,0.5,13120
2016-10-04 07:59:00,588,3103,2,1,0,1.0,15744
2016-10-04 08:25:00,478,1322,2,0,0,1.5,14433
2016-10-04 08:25:00,267,485,2,0,0,1.5,6561
2016-10-04 08:25:00,780,2009,3,1,0,1.0,9185
2016-10-04 08:25:00,665,2937,2,0,0,1.0,13121
2016-10-04 08:25:00,1467,3883,3,0,0,0.5,11809
2016-10-04 08:25:00,129,387,2,1,0,1.0,1313
2016-10-04 08:25:00,302,687,1,0,0,1.0,3937
2016-10-04 08:25:00,174,470,1,0,0,0.5,2625
2016-10-04 08:25:00,678,3103,3,1,0,0.5,15745
2016-10-04 08:25:00,269,690,2,0,0,1.0,7873
2016-10-04 08:25:00,238,2803,2,1,0,1.0,10497
2016-10-04 08:25:00,761,1920,2,0,0,1.0,17057
2016-10-04 08:25:00,315,1200,2,0,0,0.5,5249
2016-10-04 08:25:00,64,577,1,0,0,1.0,1
2016-10-04 08:59:00,518,1322,3,1,0,1.0,14434
2016-10-04 08:59:00,155,387,2,0,0,1.0,1314
2016-10-04 08:59:00,323,2803,2,0,0,1.0,10498
2016-10-04 08:59:00,958,1920,2,0,0,1.0,17058
2016-10-04 08:59:00,2007,3883,2,0,0,1.0,11810
2016-10-04 08:59:00,415,690,3,0,0,0.5,7874
2016-10-04 08:59:00,278,485,2,0,0,1.0,6562
2016-10-04 08:59:00,269,470,2,0,0,1.5,2626
2016-10-04 08:59:00,346,687,2,0,0,1.5,3938
2016-10-04 08:59:00,80,577,2,0,0,1.0,2
2016-10-04 08:59:00,792,3103,3,0,0,1.0,15746
2016-10-04 08:59:00,441,1200,2,0,0,1.0,5250
